,boat_name,activity,time
174,Viking 80,Released a white marlin.,Friday @12:24 PM
175,Viking 80,Hooked up,Friday @12:23 PM
176,Builder's Choice,Released a blue marlin.,Friday @12:21 PM
177,Builder's Choice,Hooked up,Friday @12:09 PM
178,Drillin & Billin,Released a blue marlin.,Friday @12:20 PM
179,Drillin & Billin,Hooked up,Friday @11:37 AM
180,Marlin Fever,Released a white marlin.,Friday @12:06 PM
181,Marlin Gull,Released a sailfish.,Friday @12:02 PM
182,Skirt Chaser,Released a blue marlin.,Friday @12:00 PM
183,Skirt Chaser,Hooked up,Friday @11:47 AM
184,Reel Hookup,Lost (Pulled Hook).,Friday @11:59 AM
185,Reel Hookup,Hooked up,Friday @11:57 AM
186,Rhino Fish,Released a blue marlin.,Friday @11:54 AM
187,Rhino Fish,Hooked up,Friday @11:54 AM
188,Talkin Trash,Lost (Wrong Species).,Friday @11:38 AM
189,Talkin Trash,Hooked up,Friday @11:32 AM
190,18 Reeler,Released a blue marlin.,Friday @11:32 AM
191,18 Reeler,Hooked up,Friday @10:59 AM
192,Ashley Lauren,Released a blue marlin.,Friday @11:15 AM
193,Ashley Lauren,Hooked up,Friday @10:34 AM
194,Bill Collector Hatteras,Lost (Pulled Hook).,Friday @11:13 AM
195,Bill Collector Hatteras,Hooked up,Friday @11:03 AM
196,Sea Creature,Released a white marlin.,Friday @11:13 AM
197,Sea Creature,Hooked up,Friday @11:08 AM
198,Fin Chaser,Released a blue marlin.,Friday @10:48 AM
199,Fin Chaser,Hooked up,Friday @10:42 AM
200,Blue Sky,Released a white marlin.,Friday @10:35 AM
201,Blue Sky,Hooked up,Friday @10:32 AM
202,Current Sea,Released a blue marlin.,Friday @10:33 AM
203,Current Sea,Hooked up,Friday @10:24 AM
204,High Time,Released a blue marlin.,Friday @10:13 AM
205,High Time,Hooked up,Friday @ 9:52 AM
206,Sea Striker,Released a white marlin.,Friday @10:11 AM
207,Renegade,Lost (Pulled Hook).,Friday @ 9:53 AM
208,Doc Fees,Lost (Pulled Hook).,Friday @ 9:44 AM
209,Doc Fees,Hooked up,Friday @ 9:41 AM
210,Knot Done Yet,Released a sailfish.,Friday @ 9:41 AM
211,Knot Done Yet,Hooked up,Friday @ 9:40 AM
212,Sea Hound,Released a white marlin.,Friday @ 9:24 AM
213,Sea Hound,Hooked up,Friday @ 9:20 AM
214,Redemption,Daily 1st Release,Friday @ 9:23 AM
215,Redemption,Released a daily 1st release.,Friday @ 9:23 AM
216,Redemption,Released a white marlin.,Friday @ 9:23 AM
217,Redemption,Hooked up,Friday @ 9:21 AM
218,Can Do Too,Lost (Wrong Species).,Friday @ 9:19 AM
219,Kristi Kay,Lost (Wrong Species).,Friday @ 9:11 AM
220,Kristi Kay,Hooked up,Friday @ 9:11 AM
221,Double Trouble - Beaufort,Weighed a 17.1 lb dolphin.,Wednesday @ 7:12 PM
