,boat_name,activity,time
307,Sensation,Hooked up,Tuesday @ 2:03 PM
308,Cracker,Released a spearfish.,Tuesday @ 1:56 PM
309,Builder's Choice,Released a blue marlin/unverified.,Tuesday @ 1:42 PM
310,Builder's Choice,Hooked up,Tuesday @ 1:42 PM
311,Sea Hound,Lost (Pulled Hook).,Tuesday @ 1:03 PM
312,Sea Hound,Hooked up,Tuesday @ 1:03 PM
313,Honey Hush,Weighed a 518.5 lb blue marlin.,Tuesday @ 1:00 PM
314,Honey Hush,Boated a blue marlin.,Tuesday @ 1:00 PM
315,Honey Hush,Hooked up,Tuesday @ 1:00 PM
316,Starflite,Released a white marlin.,Tuesday @12:44 PM
317,Shenandoah,Released a blue marlin.,Tuesday @12:43 PM
318,Hatteras Fever II,Released a white marlin.,Tuesday @12:42 PM
319,Truss Worthy,Released a sailfish.,Tuesday @12:36 PM
320,Truss Worthy,Hooked up,Tuesday @12:36 PM
321,Job Site,William Farrior released a blue marlin.,Tuesday @12:14 PM
322,Job Site,Hooked up,Tuesday @12:14 PM
323,Bench Mark,Released a sailfish.,Tuesday @12:09 PM
324,Bench Mark,Hooked up,Tuesday @12:09 PM
325,Marked Off,Released a blue marlin.,Tuesday @12:08 PM
326,Bill Collector,Kevin Laughren released a white marlin.,Tuesday @12:04 PM
327,Bill Collector,Hooked up,Tuesday @12:04 PM
328,Shenandoah,Released a blue marlin.,Tuesday @11:57 AM
329,Shenandoah,Hooked up,Tuesday @11:57 AM
330,Fowl Hooked,Lost (Pulled Hook).,Tuesday @11:52 AM
331,Fowl Hooked,Hooked up,Tuesday @11:52 AM
332,Maggie,Released a white marlin.,Tuesday @11:44 AM
333,Maggie,Hooked up,Tuesday @11:44 AM
334,Uno Mas,Released a blue marlin.,Tuesday @11:36 AM
335,Uno Mas,Hooked up,Tuesday @11:36 AM
336,Piracy,Released a blue marlin.,Tuesday @11:36 AM
337,Piracy,Hooked up,Tuesday @11:36 AM
338,Fender Bender,Lost (Pulled Hook).,Tuesday @11:31 AM
339,Fender Bender,Hooked up,Tuesday @11:31 AM
340,Sushi,Released a blue marlin.,Tuesday @11:23 AM
341,Sushi,Hooked up,Tuesday @11:23 AM
342,Shenandoah,Released a white marlin.,Tuesday @11:16 AM
343,Shenandoah,Hooked up,Tuesday @11:16 AM
344,Accordingly IV,Released a blue marlin.,Tuesday @11:07 AM
345,Accordingly IV,Hooked up,Tuesday @11:07 AM
346,Double J,Lost (Pulled Hook).,Tuesday @10:41 AM
347,Piracy,Lost (Pulled Hook).,Tuesday @10:24 AM
348,Piracy,Hooked up,Tuesday @10:24 AM
349,Goombay,Released a blue marlin.,Tuesday @ 9:58 AM
350,Goombay,Hooked up,Tuesday @ 9:58 AM
351,Bill Collector,Released a blue marlin.,Tuesday @ 9:44 AM
352,Sea Toy,Released a blue marlin.,Tuesday @ 9:29 AM
353,Sea Toy,Hooked up,Tuesday @ 9:29 AM
354,Freestyle,Released a daily 1st release.,Tuesday @ 9:22 AM
355,The General,Weighed a 18.0 lb dolphin.,Monday @ 6:49 PM
356,Second Chance,Weighed a 28.7 lb dolphin.,Monday @ 6:48 PM
357,Eye Catcher,Weighed a 41.1 lb dolphin.,Monday @ 6:48 PM
358,Reel Country,Weighed a 19.9 lb wahoo.,Monday @ 6:47 PM
359,Saving Grace,Weighed a 29.2 lb dolphin.,Monday @ 6:46 PM
360,Teaz'em,Weighed a 4.2 lb dolphin.,Monday @ 6:45 PM
361,Rare Breed,Weighed a 23.6 lb dolphin.,Monday @ 6:44 PM
362,Rare Breed,Weighed a 35.5 lb dolphin.,Monday @ 6:31 PM
363,Saving Grace,Weighed a 25.6 lb dolphin.,Monday @ 5:18 PM
364,Accordingly IV,DQ Blue Marlin,Monday @ 3:24 PM
